opportunityId,StageID,stage_category,new_opportunity_days,qualified_opp_days,demo_complete_days,proposal_sent_days,pending_signature_days,nurture_days,closed_won_days,closed_lost,origin_date,create_date,start_date,clost_date,Estimated_Contract_Value,Company,Full_License_Count,crm_license_count,ready_only_count,FDC_Needed,total_livecycle,qualification_days_from_start,first_demo_days_from_start,ForeCastCategory,FirmSize,uses_count,lead_sales
982700,12480,open,0,0,0,0,0,0,0,0,2016-05-31 00:00:00.0,2016-05-31 13:30:29.897,2016-05-31 00:00:00.0,2016-06-30 00:00:00.0,4500.0000,M.B. Kahn,0,0,0,false,30,0,7,none,0,3,Reyna
982669,12480,open,0,0,0,0,0,0,0,0,2016-05-31 00:00:00.0,2016-05-31 12:54:29.723,2016-05-31 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Corbins Electric,0,0,0,false,30,0,0,Commit,0,3,Reyna
982606,12480,open,0,0,0,0,0,0,0,0,2016-05-31 00:00:00.0,2016-05-31 11:34:30.51,2016-05-31 00:00:00.0,2016-06-30 00:00:00.0,0.0000,R & M Construction,0,0,0,false,30,0,0,none,0,2,Reyna
982598,12480,open,0,1,0,0,0,0,0,0,2016-05-31 11:24:05.023,2016-05-31 11:24:05.023,2016-06-01 00:00:00.0,2016-08-31 00:00:00.0,0.0000,"Matrix Engineering, Inc.",0,0,0,false,92,0,20,none,0,0,Reyna
982333,12481,open,0,0,0,0,0,0,0,0,2016-05-27 00:00:00.0,2016-05-27 16:32:33.36,2016-05-27 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Toole Design Group,0,0,0,false,34,0,6,Best Case,0,3,Hughes
982171,12481,open,0,0,0,0,0,0,0,0,2016-05-27 00:00:00.0,2016-05-27 11:14:27.01,2016-05-27 00:00:00.0,2016-06-30 00:00:00.0,4160.0000,WJA Design Collaborative,0,0,0,false,34,0,6,none,0,0,Reyna
981993,12481,open,0,0,0,0,0,0,0,0,2016-05-26 00:00:00.0,2016-05-26 17:31:50.517,2016-05-26 00:00:00.0,2016-06-30 00:00:00.0,14060.0000,GHD Inc.,0,0,0,false,35,0,6,none,0,0,Reyna
981538,12482,open,0,0,0,0,0,0,0,0,2016-05-25 00:00:00.0,2016-05-26 14:13:19.957,2016-05-25 00:00:00.0,2016-06-30 00:00:00.0,1440.0000,Ideal Contracting Upsell May 2016,0,0,0,false,35,0,-3,Pipeline,0,1,Veeravalli
981348,12483,open,0,0,0,0,0,0,0,0,2016-05-26 09:15:23.347,2016-05-26 09:15:23.347,2016-05-31 00:00:00.0,2016-06-30 00:00:00.0,2000.0000,FDC Add on - Deltek Cloud,0,0,0,true,35,0,-206,Best Case,0,1,Reyna
981278,12479,open,0,0,0,0,0,0,0,0,2016-05-25 17:58:07.467,2016-05-25 17:58:07.467,,,0.0000,Mueser Rutledge Consulting Engineers,0,0,0,false,0,0,0,none,0,0,Hughes
981218,12480,open,0,0,0,0,0,0,0,0,2016-05-25 00:00:00.0,2016-05-25 16:19:33.227,2016-05-25 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Focus Engineering,0,0,0,false,36,0,0,none,0,0,Hughes
981081,12484,open,0,0,0,0,0,11,0,0,2016-05-25 14:13:22.623,2016-05-25 14:13:22.623,,,0.0000,Regan Young England Butera,0,0,0,false,0,0,0,none,0,0,
980986,12479,open,0,0,0,0,0,0,0,0,2016-05-25 11:58:36.827,2016-05-25 11:58:36.827,,,0.0000,"RBS Design Group Architecture, PSC",0,0,0,false,0,0,0,none,0,0,
980566,12480,open,0,0,0,0,0,0,0,0,2016-05-24 00:00:00.0,2016-05-24 12:45:33.417,2016-05-24 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Westco Service Company,0,0,0,false,37,0,0,none,0,3,Reyna
980429,12480,open,0,0,0,0,0,0,0,0,2016-05-20 00:00:00.0,2016-05-24 09:50:43.7,2016-05-20 00:00:00.0,2016-07-31 00:00:00.0,0.0000,Design Collaborative Inc,0,0,0,false,68,0,0,none,0,0,Hughes
980251,12480,open,0,4,0,0,0,0,0,0,2016-05-23 16:35:52.983,2016-05-23 16:35:52.983,2016-05-27 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Endurable Building Products,0,0,0,false,38,0,0,none,0,0,Hughes
