opportunityId,StageID,stage_category,new_opportunity_days,qualified_opp_days,demo_complete_days,proposal_sent_days,pending_signature_days,nurture_days,closed_won_days,closed_lost,origin_date,create_date,start_date,clost_date,Estimated_Contract_Value,Company,Full_License_Count,crm_license_count,ready_only_count,FDC_Needed,total_livecycle,qualification_days_from_start,first_demo_days_from_start,ForeCastCategory,FirmSize,uses_count,lead_sales
937038,11,lost,0,0,0,0,0,0,0,63,2016-03-22 11:14:47.757,2016-03-22 11:14:47.757,2016-03-30 00:00:00.0,2016-05-31 00:00:00.0,4500.0000,Precision Plumbing,0,0,0,false,70,0,2,none,0,2,Reyna
936865,9,lost,0,0,0,0,0,0,43,0,2016-03-21 17:27:42.053,2016-03-21 17:27:42.053,2016-04-05 00:00:00.0,2016-05-04 11:15:41.643,0.0000,GHD,0,0,0,false,44,0,0,none,0,0,
936775,11,lost,0,0,0,0,0,0,0,27,2016-03-21 16:00:47.977,2016-03-21 16:00:47.977,,2016-04-30 00:00:00.0,1000.0000,7gen Construction Upsell,0,0,0,false,40,0,0,none,0,2,Veeravalli
936545,7,won,0,0,9,11,15,0,0,0,2016-03-21 14:21:56.103,2016-03-21 14:21:56.103,2016-03-30 00:00:00.0,2016-05-02 00:00:00.0,4160.0000,Charles C Brandt Construction,0,0,0,false,42,0,14,Commit,0,3,Reyna
936117,7,won,0,0,0,0,0,0,0,0,2016-03-18 17:31:49.9,2016-03-18 17:31:49.9,2016-03-30 00:00:00.0,2016-04-21 00:00:00.0,7220.0000,Sherwood Design Engineers - Re-Sell (Past Client),0,0,0,false,34,0,-66,Commit,0,3,Hughes
935517,7,won,0,0,1,0,0,0,0,0,2016-03-17 13:45:46.017,2016-03-17 13:45:46.017,2016-03-22 00:00:00.0,2016-03-31 00:00:00.0,4840.0000,LCD Construction,0,0,0,false,14,0,7,none,0,3,Reyna
935230,7,won,0,0,0,0,0,0,0,0,2016-03-16 16:54:54.847,2016-03-16 16:54:54.847,2016-05-18 00:00:00.0,2016-05-28 00:00:00.0,1110.0000,Wilson Construction Upsell,3,0,1,false,73,0,56,Commit,0,1,Veeravalli
932940,9,lost,0,0,32,0,0,0,12,0,2016-03-10 00:00:00.0,2016-03-10 15:15:36.703,2016-03-10 00:00:00.0,2016-05-31 00:00:00.0,5800.0000,"J. Uno  and  Associates, Inc.",0,0,0,false,82,0,22,none,1-30,3,Reyna
932764,9,lost,0,0,0,0,0,0,40,0,2016-03-10 12:07:39.973,2016-03-10 12:07:39.973,2016-03-30 00:00:00.0,2016-04-29 00:00:00.0,3800.0000,Poma Construction,0,0,0,false,50,0,4,none,0,3,Reyna
932659,7,won,0,0,0,0,0,0,0,0,2016-03-10 09:50:59.537,2016-03-10 09:50:59.537,2016-03-30 00:00:00.0,2016-03-31 00:00:00.0,5700.0000,"Crimson Engineering Associates, Inc.",0,0,0,false,21,0,12,none,0,3,Reyna
931611,7,won,0,0,0,8,0,0,0,0,2016-03-08 00:00:00.0,2016-03-08 16:21:35.99,2016-03-08 00:00:00.0,2016-03-23 00:00:00.0,3380.0000,Buttcon Limited,0,0,0,false,15,0,9,none,0,3,Hughes
931296,7,won,0,2,0,0,0,0,0,0,2016-03-08 09:50:27.887,2016-03-08 09:50:27.887,2016-03-10 00:00:00.0,2016-05-27 00:00:00.0,3440.0000,Hernandez Construction,0,0,0,false,80,0,36,Commit,0,1,Hughes
930228,7,won,0,0,0,0,0,0,0,0,2016-03-04 14:31:45.6,2016-03-04 14:31:45.6,,2016-03-05 00:00:00.0,1880.0000,Metric Environmental - Shrewsberry spin out company,0,0,0,false,1,0,0,none,0,2,Cornish
929507,7,won,0,0,0,0,0,0,0,0,2016-03-03 10:55:55.637,2016-03-03 10:55:55.637,,2016-03-16 00:00:00.0,4860.0000,Duplantis Design Group Upsell,9,0,0,false,13,0,0,none,0,2,Veeravalli
928442,7,won,0,0,3,19,0,0,0,0,2016-03-01 11:07:09.463,2016-03-01 11:07:09.463,2016-03-30 00:00:00.0,2016-04-08 00:00:00.0,4195.0000,Ridgemont Commercial Construction,0,0,0,false,38,0,17,none,0,3,Reyna
928362,7,won,0,0,0,0,0,0,0,0,2016-03-01 10:06:38.097,2016-03-01 10:06:38.097,,2016-04-08 00:00:00.0,3600.0000,Hord Coplan Macht Upsell,5,0,0,false,38,0,0,none,0,1,Veeravalli
927868,7,won,0,0,0,0,2,0,0,0,2016-02-29 00:00:00.0,2016-02-29 11:06:29.777,2016-02-29 00:00:00.0,2016-04-07 00:00:00.0,4160.0000,Sky Blue Builders,0,0,0,false,38,0,2,none,0,3,Reyna
